,app_id,uid,available_languages,birthdate,current_country,gender,main_language,spoken_languages,zipcode
0,1,ff83c48d6686c0cbb394daf2589b49a3,"['en', 'es']",1966-06-21T00:00:00Z,US,FEMALE,es,['es'],94501
1,1,0ab4700f54e19bee0ac136272333a999,"['es', 'en']",1990-01-01T00:00:00Z,ES,MALE,es,['es'],46512
2,41,4ea25839129bb25d0b73e14b6bac46e7,"['en', 'es']",1984-04-20T00:00:00Z,US,OTHER,en,['en'],28311
3,34,22c9bbe9ad3627ae8cbc23062f4e54b4,"['en', 'hi', 'mr', 'te', 'ta']",2000-10-22T00:00:00Z,IN,MALE,en,['en'],140308
4,28,b713e2b1c21f853e45ae419b65f48d65,"['id', 'en']",1986-06-27T00:00:00Z,ID,FEMALE,id,['id'],66217
5,1,4cedc288c639322c9e9dca9dc7396d0a,"['pt', 'en']",1990-11-23T00:00:00Z,BR,FEMALE,pt,['pt'],35180000
6,1,a64c82d9604bd2e995f9289ea710eae1,"['en', 'es']",2000-11-30T00:00:00Z,US,MALE,en,['en'],99344
7,1,8a949ee6bbae34861d6712abe609b8c4,"['de', 'en']",2002-02-08T00:00:00Z,DE,FEMALE,de,['de'],06406
8,1,a82064cdd058bafb8a7cfc908f082b7e,"['id', 'en']",1985-11-13T00:00:00Z,ID,FEMALE,id,['id'],45476
9,1,102c79b9c44f1ed2f7525238cae8af60,"['es', 'en']",1981-02-24T00:00:00Z,MX,FEMALE,es,['es'],68010
10,1,df9f6b38b7e34b1a6188cae83ebd4e05,['es'],1999-03-14T00:00:00Z,MX,FEMALE,es,['es'],36975
11,34,28965e0b7f1e3963618c1d495512ee27,"['en', 'hi', 'mr', 'ta', 'te']",1980-06-27T00:00:00Z,IN,FEMALE,en,['en'],700006
12,1,135ad5f50e5fd13749232e0e8d8be7bf,"['es', 'en']",1988-02-13T00:00:00Z,ES,MALE,es,['es'],43480
13,34,d54122f96fa724c1db10ae58f87d8bec,"['en', 'hi', 'mr', 'ta', 'te']",1977-06-06T00:00:00Z,IN,MALE,hi,['hi'],302022
14,1,4eb43cac2a911947f1143b9331e4e58f,"['es', 'en']",2002-05-28T00:00:00Z,MX,MALE,es,['es'],84160
15,34,3243c8241c039fcfdd04e81ccd0e3870,"['en', 'hi', 'mr', 'ta', 'te']",2002-02-01T00:00:00Z,IN,MALE,en,['en'],730056
16,1,b1b5ecea7a45ffa5405d3d06940e908d,"['id', 'en']",1980-08-20T00:00:00Z,ID,MALE,id,['id'],11530
17,1,07af9b6ce4ede0425fcf0369f0cc6f68,['id'],2000-03-16T00:00:00Z,ID,FEMALE,id,['id'],75576
18,80,a9f04cd261c80ffb06c5f5b98e06c779,"['en', 'hi', 'te', 'ta']",2000-11-11T00:00:00Z,IN,MALE,en,['en'],110022
19,1,264b06cf089dea23e456165d773794cc,['en'],2002-07-27T00:00:00Z,GB,FEMALE,en,['en'],HX5 9BN
